CRASH REPORT NUMBER,CRASH DATE,MILITARY TIME,AGENCY,NUMBER OF PEOPLE KILLED,NUMBER OF PEOPLE WITH INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH NON-INCAPACITATING INJURIES,NUMBER OF PEOPLE WITH NON-VISIBLE INJURIES,NUMBER OF PEOPLE INJURED                    (CLASS A+B+C),"NUMBER OF VEHICLES, PEDESTRIANS AND PEDALCYCLISTS INVOLVED",WGS_X,WGS_Y
710120199,2012-11-06,19:48,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.595358244,35.074968966
710121937,2012-11-08,14:34,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.635813434,35.0784708116
710122586,2012-11-09,18:12,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.610793323,35.0754776919
710122670,2012-11-10,17:53,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.649975392,35.0803149424
710121277,2012-11-11,10:24,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.597142315,35.0753990264
710093392,2012-11-13,17:47,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.620801732,35.0754735994
710118188,2012-11-22,19:09,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.604529267,35.0754264346
23304560,2012-11-23,14:20,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.636989852,35.0786260857
710114245,2012-11-24,13:58,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.633420992,35.0781765045
23329641,2012-11-26,9:10,STATION REPORT,0,0,0,0,0,2,-106.62753443,35.0774039891
23343136,2012-11-26,9:10,STATION REPORT,0,0,0,0,0,2,-106.627745873,35.0756912146
710122596,2012-11-30,17:24,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.619539631,35.0754815651
710121944,2012-12-03,14:17,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.622107971,35.0770000375
23345594,2012-12-07,10:35,STATION REPORT,0,0,0,0,0,2,-106.622107971,35.0770000375
710123193,2012-12-12,19:27,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745873,35.0756912146
710118193,2012-12-14,21:50,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.602221045,35.0754331553
710125157,2012-12-17,18:05,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.645411765,35.0797354173
710122837,2012-12-17,11:13,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.628146329,35.0766430482
23342797,2012-12-17,9:45,STATION REPORT,0,0,0,0,0,2,-106.613295715,35.0754482358
710122841,2012-12-19,13:57,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.632237059,35.078020882
710122842,2012-12-19,15:16,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118701,35.0750388671
23345908,2012-12-22,21:10,STATION REPORT,0,0,0,0,0,2,-106.604529267,35.0754264346
710118197,2012-12-24,14:06,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118701,35.0750388671
710125363,2012-12-25,20:25,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.619539631,35.0754815651
710061122,2012-12-26,11:44,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.638168468,35.0788046883
710128278,2012-12-27,15:23,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.619539631,35.0754815651
23357525,2012-12-31,15:00,STATION REPORT,0,0,0,0,0,2,-106.622107971,35.0770000375
710077536,2013-01-04,10:47,ALBUQUERQUE POLICE DEPARTMENT,0,0,1,1,2,2,-106.627745906,35.0756912502
23357510,2013-01-05,23:35,STATION REPORT,0,0,0,0,0,1,-106.599944806,35.0754215942
30097233,2013-01-09,9:46,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.63105407,35.0778779117
10398117,2013-01-09,9:54,BERNALILLO COUNTY SHERIFFS DEPARTMENT,0,0,0,0,0,2,-106.63042183,35.1597779314
23304880,2013-01-23,22:30,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.633421016,35.0781764861
710125461,2013-01-27,15:15,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.636989871,35.0786260404
23342931,2013-02-09,14:02,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.610793241,35.075477666
710122734,2013-02-13,10:24,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.641754575,35.0792671218
710113022,2013-02-14,18:30,ALBUQUERQUE POLICE DEPARTMENT,0,1,0,0,1,2,-106.618299554,35.0754812174
23295828,2013-02-18,10:35,LEFT BLANK,0,0,0,0,0,1,-106.645411747,35.0797354266
710097033,2013-02-18,22:23,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.645411747,35.0797354266
710130527,2013-02-22,10:49,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.604529241,35.075426471
710126266,2013-02-25,18:30,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.604529241,35.075426471
710124558,2013-03-02,18:19,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,3,-106.622118713,35.075038885
710127942,2013-03-03,14:03,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.61202414,35.07547402
710058173,2013-03-03,21:49,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.59535823,35.0749689211
710129663,2013-03-05,11:39,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.641754575,35.0792671218
710124101,2013-03-06,12:53,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.618299664,35.075481216
710124559,2013-03-07,17:47,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.634611119,35.0783196709
710093803,2013-03-07,17:49,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
23313099,2013-03-14,0:00,STATION REPORT,0,0,0,0,0,2,-106.635358322,35.0824999101
710122650,2013-03-20,18:24,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
710116816,2013-03-20,22:38,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.641754575,35.0792671218
60000463,2013-03-21,19:54,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.601077055,35.0754207136
710124560,2013-03-28,19:58,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.609543698,35.0754813666
710078406,2013-04-09,21:43,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.636989871,35.0786260404
710122995,2013-04-09,10:21,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118602,35.0750387963
710127003,2013-04-17,18:16,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
710115383,2013-04-25,16:03,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.61202414,35.07547402
710118950,2013-04-29,13:35,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.644150511,35.0795746499
710140432,2013-05-07,14:55,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.639384173,35.0789522584
710137578,2013-05-09,6:00,ALBUQUERQUE POLICE DEPARTMENT,0,0,2,0,2,2,-106.622118713,35.075038885
710112539,2013-05-14,7:04,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.597142324,35.0753990353
710137432,2013-05-16,18:46,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
22737165,2013-05-18,17:18,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.638168521,35.0788046876
7101419,2013-05-24,15:42,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.627745906,35.0756912502
710081370,2013-05-30,13:18,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
22734510,2013-05-31,13:50,STATION REPORT,0,0,0,1,1,2,-106.609543698,35.0754813666
710094693,2013-06-13,11:03,ALBUQUERQUE POLICE DEPARTMENT,0,2,0,0,2,2,-106.622118602,35.0750387963
710137438,2013-06-15,3:15,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.59535823,35.0749689211
710122024,2013-06-26,15:23,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,2,2,2,-106.627745906,35.0756912502
23326575,2013-06-29,11:30,STATION REPORT,0,0,0,0,0,2,-106.598033541,35.0754109149
710094422,2013-07-01,17:54,ALBUQUERQUE POLICE DEPARTMENT,0,1,0,0,1,2,-106.636989871,35.0786260404
710118961,2013-07-08,12:11,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.613295731,35.0754482716
710094423,2013-07-09,20:44,ALBUQUERQUE POLICE DEPARTMENT,0,0,1,0,1,2,-106.622118713,35.075038885
710137754,2013-07-09,10:11,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.649975391,35.0803149875
23326058,2013-07-11,17:00,STATION REPORT,0,0,0,0,0,2,-106.640578972,35.0791153364
23350854,2013-07-12,11:45,STATION REPORT,0,0,0,0,0,2,-106.613295731,35.0754482716
710116350,2013-07-18,17:19,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,1,1,2,-106.605789732,35.0754385455
710131512,2013-07-19,12:59,ALBUQUERQUE POLICE DEPARTMENT,0,0,0,0,0,2,-106.622118713,35.075038885
23326980,2013-07-20,22:30,STATION REPORT,0,0,0,0,0,2,-106.61202414,35.07547402
